Layer,Name,GEOID,Longitude,Latitude,HCSPCPP_2021-2022,HCSRCP_2021-2022
,,,,,"Primary care provider rate (% of adults), 2021-2022","Routine checkup rate (% of adults), 2021-2022"
Community area,Rogers Park,1,-87.67017100,42.00963000,80.926213051,72.072376862
Community area,Norwood Park,10,-87.80345100,41.98524800,90.82394309700001,83.546225393
Community area,Jefferson Park,11,-87.77116500,41.97883600,80.799887301,70.665925875
Community area,Forest Glen,12,-87.75835800,41.99393800,92.08476158,84.079354576
Community area,North Park,13,-87.72357800,41.98365100,79.317444979,86.055223811
Community area,Albany Park,14,-87.72155800,41.96807800,81.100628382,65.750799793
Community area,Portage Park,15,-87.76340100,41.95404300,90.812639137,79.013811227
Community area,Irving Park,16,-87.72345700,41.95358900,86.501597035,78.122736334
Community area,Dunning,17,-87.80601500,41.94652200,89.588384874,78.035431907
Community area,Montclare,18,-87.79803300,41.92930600,70.28370882899999,78.751276163
Community area,Belmont Cragin,19,-87.76550200,41.92727500,82.308655263,73.917987861
Community area,West Ridge,2,-87.69501700,42.00158300,80.22530062199999,74.040153375
Community area,Hermosa,20,-87.73474100,41.92435300,65.019905764,77.560983649
Community area,Avondale,21,-87.71121900,41.93867300,75.623332937,64.318491389
Community area,Logan Square,22,-87.69914900,41.92276800,78.71145283,68.731268402
Community area,Humboldt Park,23,-87.72091700,41.90008000,80.04849465699999,79.003141548
Community area,West Town,24,-87.67635800,41.90121600,77.073262409,64.168782433
Community area,Austin,25,-87.76311700,41.89411300,83.109794925,79.754439804
Community area,West Garfield Park,26,-87.73023300,41.87860200,81.686048917,96.119481777
Community area,East Garfield Park,27,-87.70589200,41.87892300,78.005671497,81.167708482
Community area,Near West Side,28,-87.66351300,41.87401600,85.41130091,75.352660398
Community area,North Lawndale,29,-87.71721800,41.86019700,88.84101760600001,83.747106213
Community area,Uptown,3,-87.65589900,41.96582200,76.744848755,65.927549756
Community area,South Lawndale,30,-87.71400000,41.83909100,71.14538303399999,76.250697116
Community area,Lower West Side,31,-87.66757000,41.85027700,74.532355393,68.23111497100001
Community area,Loop,32,-87.62519400,41.87888100,76.586885059,67.37969668699999
Community area,Near South Side,33,-87.62034400,41.85719600,84.509904707,75.830095757
Community area,Armour Square,34,-87.63397600,41.84208300,82.060269053,70.67545451699999
Community area,Douglas,35,-87.61868000,41.83512200,80.89289287,83.012803503
Community area,Oakland,36,-87.60321700,41.82375400,91.524423346,86.967200609
Community area,Fuller Park,37,-87.63242700,41.80908200,73.327157167,75.979279808
Community area,Grand Boulevard,38,-87.61786000,41.81294700,82.22948757,80.33981814
Community area,Kenwood,39,-87.59618600,41.80891800,90.178236145,85.828000758
Community area,Lincoln Square,4,-87.68751300,41.97518200,84.472245838,68.786158407
Community area,Washington Park,40,-87.61793600,41.79235600,88.946779075,88.15880042799999
Community area,Hyde Park,41,-87.59230500,41.79408800,74.99702239300001,69.377084222
Community area,Woodlawn,42,-87.59492400,41.77887700,76.009492148,81.972966273
Community area,South Shore,43,-87.57279000,41.76158300,88.28389884,88.248104133
Community area,Chatham,44,-87.61596500,41.74020600,91.17292509299999,84.476037377
Community area,Avalon Park,45,-87.58634700,41.74419700,81.071733376,89.008427785
Community area,South Chicago,46,-87.55143500,41.74124300,93.84856747200001,73.36583901600001
Community area,Burnside,47,-87.59647000,41.72818100,85.898331678,84.33478127800001
Community area,Calumet Heights,48,-87.57272000,41.72967300,95.79366670700001,92.380577677
Community area,Roseland,49,-87.62336600,41.70658800,86.290861904,89.16476392700001
Community area,North Center,5,-87.68383900,41.94781100,78.699815783,70.441450164
Community area,Pullman,50,-87.59825200,41.70613100,62.839702292,76.330337482
Community area,South Deering,51,-87.57005800,41.69063900,88.176713766,84.90965279
Community area,East Side,52,-87.53490700,41.70730600,73.25520884,72.840248325
Community area,West Pullman,53,-87.63574500,41.67382000,79.136706977,80.914192766
Community area,Riverdale,54,-87.60284900,41.66013700,92.52037976700001,82.619168448
Community area,Hegewisch,55,-87.55680300,41.66818800,84.065835781,71.26612910600001
Community area,Garfield Ridge,56,-87.76424600,41.79618500,94.68980125700001,86.54119511
Community area,Archer Heights,57,-87.72636500,41.81087300,70.253542988,67.602072913
Community area,Brighton Park,58,-87.69885900,41.81736400,86.157347433,74.377123464
Community area,McKinley Park,59,-87.67250000,41.82992700,88.52277110700001,70.853938995
Community area,Lake View,6,-87.65600100,41.94423600,79.34465221800001,70.269945312
Community area,Bridgeport,60,-87.64878400,41.83615100,86.920499374,59.457192152
Community area,New City,61,-87.65917100,41.80901700,80.389521715,82.060973885
Community area,West Elsdon,62,-87.72421300,41.79297700,74.592462719,72.459626392
Community area,Gage Park,63,-87.69643300,41.79542900,74.403051487,66.00555313
Community area,Clearing,64,-87.76851700,41.77958200,87.70428683799999,83.935881998
Community area,West Lawn,65,-87.72692700,41.76977400,89.86050197700001,76.00144628
Community area,Chicago Lawn,66,-87.69566700,41.77184900,76.03947517,89.48998883600001
Community area,West Englewood,67,-87.66659800,41.77592600,77.036454952,85.07701505899999
Community area,Englewood,68,-87.64250200,41.77720100,85.567616395,80.626714978
Community area,Greater Grand Crossing,69,-87.61613900,41.76325100,73.15159614699999,77.099095544
Community area,Lincoln Park,7,-87.64949100,41.92269600,79.426499545,73.33961143399999
Community area,Ashburn,70,-87.70836300,41.74575600,84.775674392,65.119916051
Community area,Auburn Gresham,71,-87.65630500,41.74420300,79.779121469,81.471433338
Community area,Beverly,72,-87.67507200,41.71314800,91.906785515,85.85932798399999
Community area,Washington Heights,73,-87.64889700,41.71749500,85.025546363,92.41558374200001
Community area,Mount Greenwood,74,-87.71318900,41.69487600,98.51937479700001,94.588693436
Community area,Morgan Park,75,-87.66906200,41.68972900,94.011959382,92.12336220200001
Community area,O'Hare,76,-87.89369900,41.97569600,71.631922319,58.76709150600001
Community area,Edgewater,77,-87.66341900,41.98671900,84.92695520000001,69.77032708899999
Community area,Near North Side,8,-87.63331800,41.89961100,82.18451181100001,74.02059328
Community area,Edison Park,9,-87.81378000,42.00762700,86.123275505,72.581425295
